name,u_star_2d,wsc,dir_metmast_60m,T_10m,wsp_metmast_10m,wsp_metmast_40m,wsp_metmast_60m,wsp_metmast_80m,wsp_metmast_100m
200801010000,0.152,-0.0074,41.6726,2.97165,2.59215,4.68932,5.37364,5.95689,6.46508
200801010010,0.123,-0.0087,51.6034,2.97663,3.98903,5.54254,5.9876,6.53404,6.97209
200801010020,0.134,-0.0104,52.6452,2.76732,4.15521,6.20265,6.80962,7.2299,7.52415
200801010030,0.135,-0.0086,48.7002,2.66463,3.67854,5.77822,6.49033,7.04092,7.39945
200801010040,0.052,-0.0014,45.673,2.45688,2.94888,5.0781,5.8327,6.36725,6.76746
200801010050,0.079,-0.0001,49.8391,2.33552,3.5978,5.40682,6.24309,7.03632,7.58686
200801010100,0.088,-0.0057,50.7902,2.27261,4.623,6.47578,7.21155,7.935,8.46354
200801010110,0.12,-0.011,56.8161,1.93698,4.38373,6.64857,7.43667,8.02594,8.52853
200801010120,0.093,-0.0045,56.4477,1.92805,3.15673,5.07863,5.74426,6.37913,7.14164
200801010130,0.057,-0.0016,53.3986,2.02256,2.27883,4.22508,5.14707,6.06931,6.85448
200801010150,0.089,-0.0014,54.004,2.09969,2.21953,3.80171,4.58563,5.36911,6.17485
200801010200,0.139,-0.0068,63.2061,1.90523,3.26513,4.91063,5.8303,6.60762,7.34603
200801010210,0.226,-0.0146,63.9287,2.11152,4.41763,6.44243,7.09103,7.64529,8.26029
200801010220,0.194,-0.0097,66.6757,2.20997,3.6104,5.35789,6.23901,6.75156,7.20378
200801010230,0.199,-0.0102,65.7181,2.17049,3.12096,4.89547,5.65475,6.35739,6.93074
200801010240,0.173,-0.0078,67.68,2.13222,3.38304,4.82989,5.67568,6.47239,7.11133
200801010250,0.179,-0.0105,65.7567,2.07393,3.13749,4.80627,5.51971,6.17868,6.74023
200801010300,0.293,-0.0168,56.3717,2.20781,4.23263,5.7442,6.34578,7.0799,7.6657
200801010310,0.362,-0.0258,49.2726,2.26459,5.9101,7.51695,8.03865,8.54659,9.24009
200801010320,0.401,-0.0215,46.9157,2.26713,6.74793,8.59634,8.93456,9.15203,9.44534
200801010330,0.364,-0.0186,49.6049,2.06764,4.63641,6.39577,6.90866,7.231,7.52389
200801010340,0.383,-0.0157,46.7523,2.04943,5.5928,7.11501,7.5911,7.85826,8.13462
200801010350,0.432,-0.0211,48.7377,1.90058,6.51861,7.86002,8.5077,9.10914,9.64793
200801010400,0.343,-0.0151,59.0741,1.94776,5.47164,6.89355,7.46349,7.95659,8.49123
200801010410,0.271,-0.0119,60.6637,1.9499,5.11509,6.27624,6.59529,7.05331,7.33311
200801010420,0.242,-0.0071,65.8979,1.91415,3.66499,4.93704,5.50346,6.06193,6.49812
200801010430,0.258,-0.0115,67.54,2.00081,3.23045,4.51228,5.11439,5.77419,6.2716
200801010440,0.187,-0.0078,62.8377,1.98939,3.20509,4.64058,5.29562,5.71901,6.17928
200801010450,0.172,-0.0085,64.9367,2.06696,3.39627,4.83093,5.39839,5.99661,6.46359
200801010500,0.284,-0.0162,65.7464,2.15901,3.34921,4.67648,5.30118,5.8044,6.35824
200801010510,0.164,-0.0112,62.5231,2.15396,3.09242,4.50899,5.08658,5.61646,6.29299
200801010520,0.111,-0.0048,58.4068,2.09676,2.7456,4.20635,4.76308,5.16,5.59848
200801010550,0.064,-0.0049,44.2526,2.02598,2.49192,4.449,5.06058,5.6696,6.40108
200801010600,0.103,-0.006,45.9082,2.02564,2.4041,4.50121,5.2784,5.9005,6.47532
200801010610,0.095,-0.0038,42.8696,2.11958,2.40163,4.40566,5.09962,5.77571,6.39877
200801010620,0.081,-0.0034,49.5612,2.11347,2.69491,4.27024,4.90358,5.54987,6.11813
200801010630,0.062,-0.0018,53.1518,2.24815,2.65481,3.98751,4.41519,4.72621,5.06639
200801010700,0.081,-0.0036,48.8657,2.27729,2.35619,3.93146,4.5301,4.98718,5.49171
200801010710,0.142,-0.0055,49.2094,2.3438,2.7175,4.06928,4.61591,5.15856,5.57573
200801010720,0.106,-0.0038,47.7847,2.38586,3.14847,4.41035,5.04789,5.5496,5.95601
200801010730,0.153,-0.0102,41.8437,2.40076,2.56222,4.5088,5.28315,5.80121,6.35577
200801010740,0.116,-0.0057,43.8535,2.41455,2.85833,4.84689,5.7018,6.28148,6.79078
200801010750,0.169,-0.0085,44.3752,2.44036,2.86904,4.93973,5.48574,6.10098,6.69701
200801010800,0.166,-0.0099,43.2412,2.54838,3.00078,4.98909,5.71836,6.45656,7.04899
200801010810,0.211,-0.0119,49.194,2.58122,3.95002,5.82142,6.47452,7.01111,7.48583
200801010820,0.173,-0.0093,51.214,2.59614,3.7095,5.26562,5.99962,6.65358,7.20229
200801010830,0.168,-0.0077,56.206,2.6555,3.73082,5.00638,5.51748,5.92066,6.45591
200801010840,0.182,-0.0087,56.6913,2.69205,3.95847,5.25029,5.76153,6.26448,6.72885
200801010850,0.277,-0.0142,54.4294,2.75129,4.22702,5.52359,5.81314,6.29315,6.85766
200801010900,0.263,-0.012,56.8358,2.84059,4.96862,5.99942,6.43291,6.84418,7.32279
200801010910,0.32,-0.0142,57.4575,2.85242,4.85796,6.29176,6.76352,7.14838,7.58978
200801010920,0.329,-0.0165,59.0869,2.89842,5.44577,6.52251,6.94376,7.34703,7.70457
200801010930,0.351,-0.0128,63.0026,2.81997,4.73536,6.0286,6.37084,6.69007,7.13068
200801010940,0.387,-0.0139,65.0598,2.80132,5.42329,6.6063,7.15224,7.56696,7.89051
200801010950,0.286,-0.0107,62.6626,2.78607,5.67813,7.10569,7.57274,7.95436,8.3187
200801011000,0.273,-0.0091,60.9537,2.76692,5.40313,6.62253,7.10519,7.39021,7.6996
200801011010,0.308,-0.0114,60.717,2.77063,4.88609,6.07458,6.54925,7.07264,7.42987
200801011020,0.232,-0.0058,58.092,2.80305,4.1249,5.14249,5.50563,5.91409,6.41203
200801011030,0.222,-0.0067,54.4829,2.79767,3.53049,4.65177,5.07229,5.51121,5.95494
200801011040,0.266,-0.0115,57.0157,2.8691,4.87469,5.87302,6.1647,6.24647,6.46111
200801011050,0.226,-0.0064,58.5923,2.85134,4.66441,5.63527,5.86054,6.09711,6.4043
200801011100,0.278,-0.0076,55.0121,2.80969,3.98424,4.88625,5.30553,5.67979,6.0227
200801011110,0.244,-0.006,57.5034,2.84162,4.11172,5.12084,5.5275,5.99621,6.27096
200801011120,0.267,-0.0064,61.8899,2.87824,4.28879,5.51899,5.97281,6.35948,6.57813
200801011130,0.289,-0.0061,66.2671,2.91027,4.73139,5.73289,6.28071,6.56488,6.7661
200801011140,0.225,-0.0039,61.8998,2.92588,3.94193,4.99631,5.49835,5.8319,6.1745
200801011150,0.21,-0.0039,61.0506,2.97559,3.53333,4.47036,4.82909,5.27467,5.71982
200801011200,0.203,-0.0043,64.8833,3.04268,3.59263,4.63002,5.1187,5.35474,5.66032
200801011210,0.206,-0.0043,64.9569,3.12058,3.21372,4.02411,4.36392,4.67504,4.92759
200801011220,0.305,-0.0072,68.7166,3.17636,3.77187,4.64351,5.19579,5.61161,5.90513
200801011230,0.235,-0.005,72.9712,3.19963,3.74567,4.50373,4.75768,4.99348,5.36262
200801011240,0.289,-0.0074,67.5793,3.23603,4.13103,4.78035,5.04217,5.32111,5.56858
200801011250,0.244,-0.0047,63.6277,3.3121,4.1101,4.84986,5.20414,5.49381,5.64132
200801011300,0.197,-0.0024,63.2014,3.43249,3.68981,4.48803,4.80172,4.97121,5.03342
200801011310,0.253,-0.0054,67.4218,3.45,4.25119,5.13678,5.3631,5.3992,5.42382
200801011320,0.247,-0.0035,68.9263,3.34202,4.86842,5.78157,5.96441,6.20329,6.39481
200801011330,0.268,-0.0098,68.1757,3.26944,4.22853,5.2909,5.60856,5.92823,6.06287
200801011340,0.232,-0.005,76.3581,3.22604,4.26994,5.13925,5.60008,5.78006,6.02288
200801011350,0.273,-0.0046,79.2801,3.17406,4.56627,5.72742,6.12323,6.51866,6.91794
200801011400,0.299,-0.003,74.8758,3.16575,5.44514,6.25513,6.57119,6.84969,7.02042
200801011410,0.262,-0.0047,74.6102,3.18421,4.86455,5.90241,6.18732,6.33452,6.69739
200801011420,0.288,-0.0065,79.0792,3.18858,4.34656,5.21972,5.51836,5.87529,6.13986
200801011430,0.263,-0.0052,81.652,3.17239,4.09997,5.22078,5.58569,5.8223,6.02198
200801011440,0.327,-0.0064,78.1414,3.16733,5.51006,6.58783,7.19052,7.59795,8.03364
200801011450,0.301,-0.009,70.7214,3.16677,5.58959,6.7328,7.20084,7.42109,7.63806
200801011500,0.269,-0.0075,68.7602,3.15111,5.16551,6.22886,6.61372,6.86242,7.06978
200801011510,0.221,-0.0069,71.0921,3.13093,3.94599,4.87299,5.26357,5.72165,5.90111
200801011520,0.236,-0.0067,81.6352,3.12476,3.65323,4.63028,4.9312,5.05803,5.20787
200801011530,0.088,-0.0028,76.9523,3.06812,2.75215,3.46872,3.62901,3.78569,4.05645
